Field=ItemType~String~ItemType~100|Field=DesignItemId~String~DesignItemId~200|Field=Description~String~Description~300|Field=Designator~String~Designator~174|Field=Comment~String~Comment~200|Field=Quantity~Integer~Quantity~70|Field=Digi-Key Part Number~String~Digi-Key Part Number~100|Field=PartNumber~String~PartNumber~78|Field=Supplier~String~Supplier~78|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~BBiQ.PrjPcb|ReportField=ProjectFullPath~F:\DESIGN\BBiQ\BBiQ.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [BOM1.BomDoc]|ReportField=TotalQuantity~115|ReportField=ReportTime~8:19:42 AM|ReportField=ReportDate~3/28/2016|ReportField=ReportDateTime~3/28/2016 8:19:42 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~BOM1.BomDoc|ReportField=DataSourceFullPath~F:\DESIGN\BBiQ\BOM1.BomDoc
Core-UnManaged|Antenna||U4|Antenna|1|||
Core-UnManaged|USB_M||USB1|USB_M|1|||
Core-UnManaged|NCP1117|1000mA Low-Dropout Positive Fixed and Adjustable Voltage Regulators|U2|NCP1117|1|||
Core-UnManaged|MKL27Z64VLH4|ARM cortex M0+ 64Kb Flash LQFP-64|U3|MKL27Z64VLH4|1|||
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C6|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C7|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C8|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C9|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C10|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C11|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C12|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C13|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C14|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C15|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C16|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C17|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C18|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C19|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|Cap_0603|CAP, CERM, 0.1uF, 16V, +/-5%, X7R, 0603|C20|0603YC104JAT2A|1||0603YC104JAT2A|
Core-UnManaged|C_293D107X96R3B2TE3|CAP, TANT, 100uF, 6.3V, +/-10%, 1.7 ohm, 3528-21 SMD|C3|293D107X96R3B2TE3|1||293D107X96R3B2TE3|
Core-UnManaged|Cap 0805|Ceramic|C1|1uF|1|||
Core-UnManaged|Cap 0805|Ceramic|C2|2.2uF|1|||
Core-UnManaged|Cap 0805|Ceramic|C4|103|1|||
Core-UnManaged|Cap 0805|Ceramic|C5|103|1|||
Core-UnManaged|Cap 0805|Ceramic|C21|10uF|1|||
Core-UnManaged|Cap 0805|Ceramic|C22|0.1uF|1|||
Core-UnManaged|Cap 0805|Ceramic|C23|0.1uF|1|||
Core-UnManaged|Cap 0805|Ceramic|C24|10pF|1|||
